BGG_ID,DESIGNER_ID,DESIGNER_NAME,DESIGNER_POB_CITY,DESIGNER_POB_ST-PROV,DESIGNER_POB_CTRY
294484,121697,Kevin Rodgers,,,United States
82222,42141,Cody Miller,Lincoln City,Oregon,United States
233867,94040,Benoit Turpin,Toulouse,,France
54043,6736,Sébastien Pauchon,Vevey,Vaud,Switzerland
350184,85519,Maxime Tardif,Quebec City,Quebec,Canada
9609,3247,Roberto Di Meglio,,Pisa,Italy
9609,934,Marco Maggi,,,Uruguay
9609,935,Francesco Nepitello,,,Italy
258779,98336,Ryan Lambert,Minneapolis,Minnesota,United States
258779,77564,Adam Rehberg,Minneapolis,Minnesota,United States
43111,1533,Eric M. Lang,Toronto,Ontario,Canada
339789,105241,Alexis Allard,Portet-sur-Garonne,,France
339789,94040,Benoit Turpin,Toulouse,,France
414317,95323,Johan Benvenuto,,,France
283355,34,Bill Eberle,Centerville,Massachussetts,United States
283355,35,Jack Kittredge,Centerville,Massachussetts,United States
283355,36,Peter Olotka,Centerville,Massachussetts,United States
188920,5143,Michał Oracz,Wroclaw,,Poland
188920,87430,Jakub Wiśniewski,Wroclaw,,Poland
10630,25,Richard Borg,Portland,Connecticut,United States
271896,6651,Corey Konieczka,Minneapolis,Minnesota,United States
271896,50438,Tony Fanchi,Minneapolis,Minnesota,United States
104162,11413,Daniel Clark (I),Minneapolis,Minnesota,United States
104162,6651,Corey Konieczka,Minneapolis,Minnesota,United States
104162,50880,Adam Sadler,Noblesville,Indiana,United States
104162,2336,Kevin Wilson,Minneapolis,Minnesota,United States
396790,35418,Simone Luciani,Fermo,,Italy
396790,76227,Dávid Turczi,Leiden,,Netherlands
227224,77002,Isra C.,Madrid,,Spain
227224,77173,Shei S.,Madrid,,Spain
39463,34,Bill Eberle,Centerville,Massachussetts,United States
39463,35,Jack Kittredge,Centerville,Massachussetts,United States
39463,10774,Bill Norton,Centerville,Massachussetts,United States
39463,36,Peter Olotka,Centerville,Massachussetts,United States
39463,2336,Kevin Wilson,Minneapolis,Minnesota,United States
25021,7535,Matt Calkins,McLean,Virginia,United States
314491,89488,Klemens Kalicki,,,Poland
410201,155573,Connie Vogelmann,Washington D.C.,Washington D.C.,United States
155426,6046,Ted Alspach,Louisville,Tennessee,United States
199561,88370,Adrian Adamescu,Kitchener,Ontario,Canada
199561,67502,Daryl Andrews,Waterloo,Ontario,Canada
282524,102313,Prospero Hall,Seattle,Washington,United States
282524,15913,Peter Lee,Renton,Washington,United States
287954,42,Michael Kiesling,Bremen,,Germany
17133,1115,Glenn Drover,Chicago,Illinois,United States
17133,6,Martin Wallace,Manchester,England,United Kingdom
128882,11906,Don Eskridge,Stillwater,Oklahoma,United States
364011,11767,Alexander Pfister,,Vienna,Austria
242302,57723,John D. Clair,Los Angeles,California,United States
70149,10,Uwe Rosenberg,Aurich,,Germany
103343,21,Christian T. Petersen,Seattle,Washington,United States
31627,9,Alan R. Moon,Southampton,England,United Kingdom
118,2,Reiner Knizia,Illertissen,,Germany
338960,113802,Gary Dworetsky,Los Angeles,California,United States
338960,140388,Anthony Giovannetti,Seattle,Washington,United States
338960,140389,Casey Yano,Seattle,Washington,United States
188,3,(Uncredited),Unknown,,Unknown
300531,92425,Peter Rustemeyer,,,Germany
14105,25,Richard Borg,Portland,Connecticut,United States
171131,285,Roberto Fraga,Saint-Malo,,France
171131,43218,Yohan Lemonnier,Saint-Malo,,France
123260,6046,Ted Alspach,Louisville,Tennessee,United States
104006,6940,Inka Brand,Cologne,,Germany
104006,6941,Markus Brand,Cologne,,Germany
316377,9714,Antoine Bauza,,Valence,France
150376,12679,Jonathan Gilmour-Long,Columbus,Ohio,United States
150376,65023,Isaac Vega,Plano,Texas,United States
285967,1533,Eric M. Lang,Toronto,Ontario,Canada
148228,50969,Marc André,Paris,,France
822,398,Klaus-Jürgen Wrede,Meschede,North Rhine-Westphalia,Germany
293014,295,Serge Laget,Avignon,,France
215,172,Urs Hostettler,Bern,,Switzerland
299659,7614,Christian Marcussen,Copenhagen,,Denmark
241451,126022,Jenny Iglesias,,,
241451,72770,Nick Little (I),,,
241451,88122,Kevin Riley,,,
182631,4113,Robert Dougherty,Framingham,Massachussetts,United States
182631,4059,Darwin Kastle,Maynard,Massachussetts,United States
374173,69895,Caleb Grace,Roseville,MN,United States
91,484,Ted Raicer,,New Jersey,United States
306735,9217,Tomáš Uhlíř,,,Czech Republic
245638,6818,Flaminia Brasini,Rome,,Italy
245638,6817,Virginio Gigli,,,Italy
256680,88714,Tim Burrell-Saward,Sunrise,Florida,United States
256680,69802,Isaac Childres,,California,United States
256680,75911,Noah Cohen,Sunrise,Florida,United States
256680,442,Rob Daviau,Boston,Massachusetts,United States
256680,4083,Justin D. Jacobson,Gainesville,Florida,United States
256680,80920,Brian Neff,Philadelphia,Pennsylvania,United States
126042,37300,Rustan Håkansson,Norrkoping,Ostergotland,Sweden
126042,60882,Nina Håkansson,Norrkoping,Ostergotland,Sweden
126042,60883,Einar Rosén,Norrkoping,Ostergotland,Sweden
126042,60884,Robert Rosén,Norrkoping,Ostergotland,Sweden
7854,244,Kris Burm,Antwerp,,Belgium
295486,2,Reiner Knizia,Illertissen,,Germany
195421,11854,Ryan Laukat,Salt Lake City,Utah,United States
9209,9,Alan R. Moon,Southampton,England,United Kingdom
269207,80162,Wolfgang Warsch,Steyr,,Austria
21050,6331,Chad Jensen,San Francisco,California,United States
283155,117880,Kevin Russ,Portland,Oregon,United States
54998,1727,Bruno Cathala,,Haute-Savole,France
54998,4337,Ludovic Maublanc,,,France
221194,12679,Jonathan Gilmour-Long,Columbus,Ohio,United States
221194,58135,Brian Lewis,Lansing,Michigan,United States
